"","X","name","language_count","tooltip_text"
"1",1,"JavaScript",1099966,"<b>JavaScript</b><br>1,099,966"
"2",2,"CSS",807826,"<b>CSS</b><br>807,826"
"3",3,"HTML",777433,"<b>HTML</b><br>777,433"
"4",4,"Shell",640886,"<b>Shell</b><br>640,886"
"5",5,"Python",550905,"<b>Python</b><br>550,905"
"6",6,"Ruby",374276,"<b>Ruby</b><br>374,276"
"7",7,"Java",369673,"<b>Java</b><br>369,673"
"8",8,"PHP",339426,"<b>PHP</b><br>339,426"
"9",9,"C",293231,"<b>C</b><br>293,231"
"10",10,"C++",277871,"<b>C++</b><br>277,871"
"11",11,"Makefile",251366,"<b>Makefile</b><br>251,366"
"12",12,"Objective-C",166961,"<b>Objective-C</b><br>166,961"
"13",13,"C#",133110,"<b>C#</b><br>133,110"
"14",14,"Perl",101533,"<b>Perl</b><br>101,533"
"15",15,"Batchfile",97868,"<b>Batchfile</b><br>97,868"
"16",16,"Go",91867,"<b>Go</b><br>91,867"
"17",17,"CoffeeScript",68589,"<b>CoffeeScript</b><br>68,589"
"18",18,"ApacheConf",68500,"<b>ApacheConf</b><br>68,500"
"19",19,"CMake",56754,"<b>CMake</b><br>56,754"
"20",20,"TypeScript",48027,"<b>TypeScript</b><br>48,027"
"21",21,"Assembly",47681,"<b>Assembly</b><br>47,681"
"22",22,"Swift",42605,"<b>Swift</b><br>42,605"
"23",23,"Scala",34562,"<b>Scala</b><br>34,562"
"24",24,"Lua",34431,"<b>Lua</b><br>34,431"
"25",25,"PowerShell",33176,"<b>PowerShell</b><br>33,176"
"26",26,"ASP",32781,"<b>ASP</b><br>32,781"
"27",27,"XSLT",32226,"<b>XSLT</b><br>32,226"
"28",28,"TeX",31554,"<b>TeX</b><br>31,554"
"29",29,"Haskell",30061,"<b>Haskell</b><br>30,061"
"30",30,"R",29356,"<b>R</b><br>29,356"
