"","name","author_count"
"1","shenzhouzd",1188430
"2","dependabot[bot]",622184
"3","Duane F. King",597940
"4","Marge Spiderworthy",495786
"5","Curt Clifton",384915
"6","dependabot-preview[bot]",373464
"7","James Michael DuPont",343259
"8","CI Pool Resource",316075
"9","unknown",307362
"10","time",286934
"11","miatribepi",279802
"12","Jenkins",279799
"13","Matthew Weier O'Phinney",265480
"14","aatchison",262278
"15","kfezer",262215
"16","root",230987
"17","conda-forge-coordinator",210085
"18","Renovate Bot",208899
"19","test",189116
"20","Emile B",187684
"21","keum",186686
"22","Ionică Bizău",184417
"23","craigwmcclellan",181881
"24","chous",167515
"25","Bactrian the Two-Humped Bot",165324
"26","Linux Build Service Account",162918
"27","auto commit",161874
"28","Ryan Niehaus",158360
"29","BrewTestBot",156013
"30","DataBC",154650
