"","repo_name","watch_count"
"1","FreeCodeCamp/FreeCodeCamp",90457
"2","firehol/netdata",13208
"3","joshbuchea/HEAD",13125
"4","braydie/HowToBeAProgrammer",12019
"5","sindresorhus/awesome",11063
"6","tensorflow/tensorflow",10728
"7","facebook/react",10458
"8","ParsePlatform/parse-server",10339
"9","loverajoel/jstips",9585
"10","facebook/react-native",9437
"11","vhf/free-programming-books",8862
"12","vuejs/vue",8822
"13","airbnb/javascript",8708
"14","caesar0301/awesome-public-datasets",8653
"15","twbs/bootstrap",8211
"16","toddmotto/public-apis",8182
"17","getlantern/lantern",8110
"18","DrkSephy/es6-cheatsheet",7967
"19","airbnb/caravel",7764
"20","googlesamples/android-architecture",7713
"21","getify/You-Dont-Know-JS",7650
"22","allenwong/30DaysofSwift",7485
"23","jgthms/bulma",7387
"24","dthree/cash",7309
"25","Rochester-NRT/AlphaGo",7200
"26","apple/swift",7041
"27","robbyrussell/oh-my-zsh",6983
"28","github/gitignore",6898
"29","facebook/draft-js",6715
"30","matryer/bitbar",6384
